n,y,area_type,value
Nepal,2065,large_city,7.5008136964992005
Nepal,2065,town,3.64400139079515
Nepal,2070,city,4.500468116764434
Nepal,2070,large_city,7.894077504486912
Nepal,2070,town,3.8350545113286536
Nepal,2075,city,4.700412573674818
Nepal,2075,large_city,8.244791474343424
Nepal,2075,town,4.005436318641758
Nepal,2080,city,4.87447570373884
Nepal,2080,large_city,8.55010812224512
Nepal,2080,town,4.1537634648160395
Nepal,2085,city,5.018808333128611
Nepal,2085,large_city,8.803275777979648
Nepal,2085,town,4.276755892961741
Nepal,2090,city,5.136484726797834
Nepal,2090,large_city,9.009686877441279
Nepal,2090,town,4.377033324710884
Nepal,2095,city,5.234882527517876
Nepal,2095,large_city,9.182282226414335
Nepal,2095,town,4.460882586557786
Nepal,2100,city,5.32476238591661
Nepal,2100,large_city,9.339936619220481
Nepal,2100,town,4.53747332056291
Pakistan,2011,city,23.210509104
Pakistan,2011,large_city,37.940793044399996
Pakistan,2011,town,8.7598698516
Pakistan,2012,city,23.67649900286316
Pakistan,2012,large_city,39.04493221683368
Pakistan,2012,town,8.877085580303158
Pakistan,2013,city,24.08596634861053
Pakistan,2013,large_city,40.07130416191895
Pakistan,2013,town,8.970463689470527
Pakistan,2014,city,24.470452090921054
Pakistan,2014,large_city,41.070550370407894
Pakistan,2014,town,9.052065038671053
Pakistan,2015,city,24.83332400303158
Pakistan,2015,large_city,42.047441783676845
Pakistan,2015,town,9.123286413291579
Pakistan,2016,city,25.17679747023158
Pakistan,2016,large_city,43.00496702609684
Pakistan,2016,town,9.185072303671578
Pakistan,2017,city,25.5567370072
Pakistan,2017,large_city,44.03868194292
Pakistan,2017,town,9.257780649879999
Pakistan,2018,city,26.00592187575789
Pakistan,2018,large_city,45.20739196054421
Pakistan,2018,town,9.352887963697892
Pakistan,2019,city,26.492530681705258
Pakistan,2019,large_city,46.45865158659947
Pakistan,2019,town,9.458458031695262
Pakistan,2020,city,27.03377405473684
Pakistan,2020,large_city,47.82484838652632
Pakistan,2020,town,9.580257558736841
Pakistan,2025,city,32.96856599109719
Pakistan,2025,large_city,60.93097863339518
Pakistan,2025,town,11.236869244397628
Pakistan,2030,city,38.0037431830718
Pakistan,2030,large_city,73.37074457526597
Pakistan,2030,town,12.41620664906222
Pakistan,2035,city,43.7520847140804
Pakistan,2035,large_city,85.88052884599624
Pakistan,2035,town,14.05239371112336
Pakistan,2040,city,49.61822667515
Pakistan,2040,large_city,99.02286495732751
Pakistan,2040,town,15.6576721925225
Pakistan,2045,city,55.47216481741594
Pakistan,2045,large_city,112.55570804522092
Pakistan,2045,town,17.188036377483137
Pakistan,2050,city,61.27019327586664
Pakistan,2050,large_city,126.39813946169525
Pakistan,2050,town,18.62861431922814
Pakistan,2055,city,67.422982179662
Pakistan,2055,large_city,139.09111508915458
Pakistan,2055,town,20.499310743513398
Pakistan,2060,city,73.40614530616621
Pakistan,2060,large_city,151.43415902049844
Pakistan,2060,town,22.318434077935382
Pakistan,2065,city,79.03811596005863
Pakistan,2065,large_city,163.05270588797282
Pakistan,2065,town,24.030780711088536
Pakistan,2070,city,84.23262888924707
Pakistan,2070,large_city,173.76879367152083
Pakistan,2070,town,25.610122520872093
Pakistan,2075,city,88.90612591378519
Pakistan,2075,large_city,183.41004494066055
Pakistan,2075,town,27.031054444494288
Pakistan,2080,city,93.01380558436394
Pakistan,2080,large_city,191.88403596478045
Pakistan,2080,town,28.279955031205606
Pakistan,2085,city,96.6392360554995
Pakistan,2085,large_city,199.36316475153046
Pakistan,2085,town,29.382232376470053
Pakistan,2090,city,99.85366516119787
Pakistan,2090,large_city,205.99441294365636
Pakistan,2090,town,30.359548700525817
Pakistan,2095,city,102.66889768554671
Pakistan,2095,large_city,211.80213337351674
Pakistan,2095,town,31.215493134696526
Pakistan,2100,city,105.11827394911722
Pakistan,2100,large_city,216.85510588762332
Pakistan,2100,town,31.96020248351948
Sri Lanka,2011,city,1.8804132269999998
Sri Lanka,2011,large_city,0.7711593637999999
Sri Lanka,2011,town,1.1472420091999997
Sri Lanka,2012,city,1.8882429734736843
Sri Lanka,2012,large_city,0.7864994986526317
Sri Lanka,2012,town,1.1500567278736842
Sri Lanka,2013,city,1.8932734672105263
Sri Lanka,2013,large_city,0.8008212837789473
Sri Lanka,2013,town,1.151142649010526
Sri Lanka,2014,city,1.9001297292631578
Sri Lanka,2014,large_city,0.8160578590736842
Sri Lanka,2014,town,1.1533156116631578
Sri Lanka,2015,city,1.907931677473684
Sri Lanka,2015,large_city,0.8318623122526316
Sri Lanka,2015,town,1.156036410273684
Sri Lanka,2016,city,1.9165873128421052
Sri Lanka,2016,large_city,0.8482138032157894
Sri Lanka,2016,town,1.159246183942105
Sri Lanka,2017,city,1.926208273263158
Sri Lanka,2017,large_city,0.8651807446736843
Sri Lanka,2017,town,1.163009382063158
Sri Lanka,2018,city,1.936901314947368
Sri Lanka,2018,large_city,0.8828324845052631
Sri Lanka,2018,town,1.167387000547368
Sri Lanka,2019,city,1.9493537506578946
Sri Lanka,2019,large_city,0.9015099311842106
Sri Lanka,2019,town,1.1727888181578945
Sri Lanka,2020,city,1.9637776762105261
Sri Lanka,2020,large_city,0.9213497223789473
Sri Lanka,2020,town,1.179336201410526
Sri Lanka,2025,city,2.3791863219031706
Sri Lanka,2025,large_city,1.1973442373178078
Sri Lanka,2025,town,1.4156881173290208
Sri Lanka,2030,city,2.6310533588811995
Sri Lanka,2030,large_city,1.41629042509988
Sri Lanka,2030,town,1.5506420859789196
Sri Lanka,2035,city,2.9064495301841995
Sri Lanka,2035,large_city,1.6039871204011198
Sri Lanka,2035,town,1.7065676920546795
Sri Lanka,2040,city,3.1811443902312004
Sri Lanka,2040,large_city,1.7992279024318403
Sri Lanka,2040,town,1.86079843901696
Sri Lanka,2045,city,3.446240574328
Sri Lanka,2045,large_city,1.99695670036736
Sri Lanka,2045,town,2.0081336968246397
Sri Lanka,2050,city,3.695959440882
Sri Lanka,2050,large_city,2.1934715812191
Sri Lanka,2050,town,2.1452634145989
Sri Lanka,2055,city,3.950248433078999
Sri Lanka,2055,large_city,2.3443865700664497
Sri Lanka,2055,town,2.292861590504549
Sri Lanka,2060,city,4.190719813329601
Sri Lanka,2060,large_city,2.4871011066064805
Sri Lanka,2060,town,2.43243954382392
Sri Lanka,2065,city,4.418163741743999
Sri Lanka,2065,large_city,2.6220841336872
Sri Lanka,2065,town,2.5644559109687997
Sri Lanka,2070,city,4.63184484504
Sri Lanka,2070,large_city,2.748899223252
