n,area_type,y,value
Bangladesh,town,2039,0.33049999999999996
Bangladesh,town,2040,0.32999999999999996
Bangladesh,town,2041,0.32949999999999996
Bangladesh,town,2042,0.32899999999999996
Bangladesh,town,2043,0.32849999999999996
Bangladesh,town,2044,0.32799999999999996
Bangladesh,town,2045,0.32749999999999996
Bangladesh,town,2046,0.32699999999999996
Bangladesh,town,2047,0.32649999999999996
Bangladesh,town,2048,0.32599999999999996
Bangladesh,town,2049,0.32549999999999996
Bangladesh,town,2050,0.32499999999999996
Bangladesh,town,2051,0.32499999999999996
Bangladesh,town,2052,0.32499999999999996
Bangladesh,town,2053,0.32499999999999996
Bangladesh,town,2054,0.32499999999999996
Bangladesh,town,2055,0.32499999999999996
Bangladesh,town,2056,0.32499999999999996
Bangladesh,town,2057,0.32499999999999996
Bangladesh,town,2058,0.32499999999999996
Bangladesh,town,2059,0.32499999999999996
Bangladesh,town,2060,0.32499999999999996
Bangladesh,town,2061,0.32499999999999996
Bangladesh,town,2062,0.32499999999999996
Bangladesh,town,2063,0.32499999999999996
Bangladesh,town,2064,0.32499999999999996
Bangladesh,town,2065,0.32499999999999996
Bangladesh,town,2066,0.32499999999999996
Bangladesh,town,2067,0.32499999999999996
Bangladesh,town,2068,0.32499999999999996
Bangladesh,town,2069,0.32499999999999996
Bangladesh,town,2070,0.32499999999999996
Bangladesh,town,2071,0.32499999999999996
Bangladesh,town,2072,0.32499999999999996
Bangladesh,town,2073,0.32499999999999996
Bangladesh,town,2074,0.32499999999999996
Bangladesh,town,2075,0.32499999999999996
Bangladesh,town,2076,0.32499999999999996
Bangladesh,town,2077,0.32499999999999996
Bangladesh,town,2078,0.32499999999999996
Bangladesh,town,2079,0.32499999999999996
Bangladesh,town,2080,0.32499999999999996
Bangladesh,town,2081,0.32499999999999996
Bangladesh,town,2082,0.32499999999999996
Bangladesh,town,2083,0.32499999999999996
Bangladesh,town,2084,0.32499999999999996
Bangladesh,town,2085,0.32499999999999996
Bangladesh,town,2086,0.32499999999999996
Bangladesh,town,2087,0.32499999999999996
Bangladesh,town,2088,0.32499999999999996
Bangladesh,town,2089,0.32499999999999996
Bangladesh,town,2090,0.32499999999999996
Bangladesh,town,2091,0.32499999999999996
Bangladesh,town,2092,0.32499999999999996
Bangladesh,town,2093,0.32499999999999996
Bangladesh,town,2094,0.32499999999999996
